classifier,vectorizer,train_time,test_time,p_score,r_score,f_score,score,custom_f_score
RidgeClassifierCV,TfidfVectorizer,64.24811267852783,0.007737874984741211,0.99153,0.97908,0.98526,0.99251,0.80000
RidgeClassifierCV,HashingVectorizer,64.63888335227966,0.010998249053955078,0.98129,0.98745,0.98436,0.99198,0.66667
RidgeClassifierCV,CountVectorizer,61.73777747154236,0.006826877593994141,0.97419,0.94770,0.96076,0.98021,0.00000
SGDClassifier,TfidfVectorizer,0.07645797729492188,0.0076923370361328125,0.98945,0.98117,0.98529,0.99251,0.66667
SGDClassifier,HashingVectorizer,0.23125052452087402,0.00625920295715332,0.97899,0.97490,0.97694,0.98824,0.66667
SGDClassifier,CountVectorizer,0.0866842269897461,0.005635738372802734,0.96544,0.93515,0.95005,0.97487,1.00000
OneVsRestClassifier,TfidfVectorizer,1.306535243988037,0.017754554748535156,0.98265,0.94770,0.96486,0.98235,1.00000
OneVsRestClassifier,HashingVectorizer,8.155620098114014,0.007953882217407227,0.96312,0.92887,0.94569,0.97273,1.00000
OneVsRestClassifier,CountVectorizer,12.625756740570068,0.013646841049194336,0.98532,0.98326,0.98429,0.99198,1.00000
KNeighborsClassifier,TfidfVectorizer,0.003984689712524414,2.7998692989349365,0.79019,0.97699,0.87371,0.92781,0.57143
KNeighborsClassifier,HashingVectorizer,0.0040967464447021484,3.208171844482422,0.88980,0.91213,0.90083,0.94866,0.66667
KNeighborsClassifier,CountVectorizer,0.002749919891357422,3.392925977706909,0.79396,0.93515,0.85879,0.92139,0.66667
